# logM_cut, logM_1, sigma, alpha, kappa, s, B_cen, B_sat
12.83088,13.72651,-0.30307,0.97737,0.89376,-0.43232,-0.57187,0.87657
12.63038,13.91575,-0.21054,0.77952,1.47613,0.46268,0.22287,-0.54642
12.64806,13.60528,-2.96359,1.25222,0.73720,-0.68231,-0.59565,0.88640
12.78712,14.04342,-0.86347,1.26554,0.77021,-0.95081,0.09242,-0.84969
13.25337,13.60506,-2.00179,1.09131,0.71113,-0.05646,0.01001,-0.82286
12.70042,13.26701,-1.78121,1.26241,0.56010,0.83146,-0.65102,0.87877
12.92000,13.29528,-2.13844,0.85892,0.56404,-0.94654,-0.54973,-0.11802
13.26584,14.05018,-1.00555,1.21968,1.32967,-0.58738,-0.89663,-0.12684
13.11324,13.32392,-1.51425,1.16197,0.29450,-0.16800,-0.27976,0.48380
12.82702,14.32743,-0.31940,0.86145,1.03042,-0.32829,0.00492,-0.16481
12.46836,13.83929,-1.20902,0.85525,0.38599,0.79097,0.19939,-0.54769
12.98571,14.16867,-1.92782,1.44160,0.27505,0.32484,-0.45917,0.56337
12.85055,13.72643,-0.58205,1.13771,0.13402,-0.61585,-0.29937,0.74566
12.66438,13.65175,-0.33307,1.25773,0.53803,-0.44744,0.96020,-0.87480
12.83468,13.85421,-0.33039,0.91309,0.76407,-0.45885,0.17846,0.58556
12.51339,13.83262,-1.22322,1.44864,1.09194,-0.34362,-0.90040,0.52482
13.10160,13.64191,-0.14789,1.06793,1.18672,0.86401,-0.55343,-0.90737
13.06692,14.21371,-2.95323,0.74753,0.30555,-0.37245,0.26933,-0.16499
12.52274,14.11499,-2.49308,0.72166,1.17407,-0.33075,0.60780,-0.08522
12.60586,13.74436,-1.58163,1.26578,1.22335,0.89327,0.67688,-0.46227
13.02893,13.88753,-0.47192,1.32533,1.47441,-0.36729,0.73699,-0.72350
13.14549,14.22045,-0.41256,1.45702,0.01266,0.71129,-0.33022,0.27382
12.43223,13.85864,-0.71806,0.76053,0.87261,-0.52500,0.54379,0.77378
12.91434,14.18552,-2.02734,0.98144,0.35309,0.59128,0.06434,0.28923
13.26527,13.23637,-2.02256,1.31549,0.22327,0.93991,-0.51996,0.02843
13.24159,13.47141,-1.87024,1.26345,0.12998,-0.01742,0.19506,-0.48328
13.15273,13.24186,-1.53494,0.96942,0.34010,0.09009,-0.39990,-0.50760
12.87885,13.67513,-2.91860,0.78710,0.12340,0.30678,-0.68079,0.19733
12.66088,13.71072,-0.63591,1.37701,0.90590,0.84036,0.21326,-0.34477
13.11428,14.15663,-2.94310,0.96374,1.24777,0.16513,-0.76009,-0.15685
12.64905,14.07794,-2.71904,1.09462,0.30762,0.51425,-0.88530,-0.78674
12.57618,14.37210,-2.76346,0.93683,0.07931,0.21039,0.97887,0.30545
12.64831,13.68073,-0.32013,0.93540,1.46944,0.40372,-0.36618,-0.93147
12.43508,13.20183,-1.96896,1.46592,1.29865,0.45411,-0.30755,0.93434
13.20453,14.07629,-2.70386,1.41830,0.26260,-0.70887,-0.63413,-0.09310
12.72853,13.98541,-1.65208,0.92363,0.45199,0.58829,-0.45200,-0.63102
12.42003,14.32026,-2.61439,1.25164,0.58991,0.02124,-0.71723,0.45295
12.74872,13.81298,-1.53296,1.25993,0.67079,0.69787,0.10292,-0.94482
12.67418,14.22626,-2.09326,0.92089,1.13109,-0.72450,0.50118,0.45203
12.45886,13.90623,-0.26100,0.81382,1.02566,-0.30774,-0.87012,0.02739
12.67929,13.72305,-0.12853,1.25101,0.11624,-0.56408,0.52010,-0.37540
12.89267,13.97758,-1.90428,1.31097,0.66231,-0.82934,-0.52989,0.94119
12.60076,14.19667,-2.04762,1.46093,0.34302,-0.71277,0.95572,0.26447
12.96533,13.44712,-1.29805,1.29970,1.18703,-0.87974,0.14976,-0.62836
12.78909,13.43138,-1.41663,1.41727,0.05556,0.09943,-0.53608,0.82857
12.65614,14.02490,-0.52581,1.26356,0.42703,-0.81859,0.12745,-0.17377
12.65631,13.26501,-2.80517,0.79957,0.70979,-0.21317,0.70053,0.59163
12.46423,13.89678,-0.99341,1.14370,1.31204,-0.66672,0.05392,0.72813
13.11632,14.11097,-2.64563,0.81029,0.97367,0.89626,0.59908,-0.80751
12.99881,14.34403,-2.19748,1.45671,0.85560,0.60377,0.74738,0.96098
