# \logM_cut, \logM_1, \sigma, lpha, \kappa, lpha_c, lpha_s, B_cen, B_sat
12.73139,13.79572,-0.69758,0.90093,1.24103,0.24879,0.71047,-0.01426,-0.14744
12.89043,13.47803,-2.41220,1.07734,0.42324,0.23785,0.70174,0.19578,-0.71181
12.57857,14.12989,-1.79669,1.25909,0.47210,0.42984,0.97074,0.09574,-0.16475
12.66730,14.04861,-2.86725,0.90251,1.05425,0.17077,1.25746,-0.40020,-0.10844
12.49266,13.73691,-1.84929,0.70347,1.47355,0.28820,0.94054,-0.13990,0.71154
12.65195,13.58311,-2.64045,1.40230,0.99661,0.18161,0.93466,0.23524,0.01351
12.86537,13.63931,-1.93541,1.20093,0.07234,0.09558,1.04379,-0.11133,0.13869
12.67854,13.83429,-2.87821,1.20154,1.09779,0.07241,1.24862,-0.46471,-0.40746
13.18703,13.37284,-2.99607,1.08808,0.23895,0.27045,0.97392,0.44354,0.14732
13.12433,14.17926,-1.32277,1.07668,0.64601,0.01830,0.79895,-0.01023,-0.53222
12.90343,14.01475,-1.80487,1.15911,0.44809,0.09522,0.73462,-0.30393,-0.35150
13.28557,13.35261,-0.29473,1.46749,0.62170,0.05368,1.04134,0.49770,0.15671
12.80550,13.66616,-2.01997,0.83743,1.28690,0.36720,0.82301,0.03409,-0.45690
13.18507,13.28534,-1.84560,0.96633,0.17812,0.23454,1.04168,0.05733,-0.58485
13.16831,14.09951,-0.28660,1.41251,0.45616,0.31659,1.02920,-0.25040,0.93551
13.11822,14.07847,-1.47363,0.82834,1.04634,0.23971,1.05899,0.13939,0.32490
12.46992,13.65681,-2.56512,1.11824,0.39629,0.04617,0.97595,0.03393,0.58125
13.13196,13.58402,-0.43789,0.74294,1.35198,0.46240,0.87053,0.02301,-0.65386
12.53958,13.67492,-1.15642,1.37592,0.37069,0.39809,0.73844,-0.12159,0.26046
12.45035,13.91293,-0.77968,1.22385,0.08110,0.49069,0.99884,0.34626,-0.52243
13.23315,13.39717,-2.59343,1.00973,1.06399,0.04718,1.11121,0.46716,-0.26891
12.66067,14.13625,-1.89120,1.10121,0.51501,0.27739,1.11098,-0.13618,0.95630
12.66206,13.88656,-2.88699,0.88389,1.21727,0.27314,1.04595,-0.29171,-0.86152
12.64193,13.83864,-2.80542,1.36064,0.19217,0.09513,0.94571,0.05342,-0.57799
12.87390,13.55614,-1.04798,1.33667,0.55163,0.29036,0.97049,0.21796,0.33278
12.68569,14.39155,-1.50187,1.41653,0.80602,0.44870,0.85328,0.14936,-0.77280
13.09443,13.20911,-0.46795,1.30619,0.17144,0.09148,1.20803,-0.45332,-0.36073
13.18265,13.38170,-1.52673,1.17910,0.87111,0.01088,1.24950,0.20608,-0.39292
12.78612,13.22495,-2.90474,0.73709,0.47107,0.44590,0.95591,-0.07857,0.76684
13.15478,13.59573,-2.24698,1.30242,0.33924,0.00833,1.14234,-0.39344,0.91544
12.61164,13.84238,-2.81222,1.39186,1.04562,0.49984,0.79150,-0.16241,0.94270
12.53289,13.73285,-1.74687,1.31729,0.48248,0.17265,1.05707,-0.45097,0.28676
13.17221,13.88755,-1.98136,1.37743,0.68285,0.38154,0.95438,0.10226,0.20498
12.94199,14.23426,-2.95176,0.88410,0.16185,0.45746,0.74658,-0.39995,-0.69264
13.00537,13.50539,-0.45502,1.07458,0.67160,0.21666,1.28662,0.49800,0.64638
12.47120,13.56865,-1.81251,1.27627,0.20140,0.41805,0.80616,-0.38763,0.74211
12.86116,13.73085,-2.72124,1.48576,1.11132,0.14280,1.14314,0.35119,-0.66426
12.85811,13.90776,-1.08240,1.43724,0.97799,0.41256,1.21390,0.28190,0.15294
12.89837,14.00800,-0.33696,0.88936,0.95937,0.12877,0.91305,-0.35235,-0.76148
13.10833,13.70445,-0.66183,0.91987,0.76592,0.21548,1.08205,-0.19418,0.30699
12.70097,13.53590,-1.21647,1.14994,1.16313,0.09085,0.96297,-0.34776,0.24491
12.55129,13.44317,-1.86290,0.83593,1.06676,0.45771,1.21928,0.30293,-0.00518
12.75418,13.86455,-1.14094,1.45350,0.24699,0.37051,0.86233,-0.44287,-0.44251
13.05846,13.33868,-1.02951,1.11898,0.76273,0.26027,0.97317,-0.33304,0.45814
