# logM1, logM_cut, alpha, alpha_s, alpha_c, logsigma, kappa, B_cen, B_sat
13.48847,12.76563,1.36310,1.20784,0.29608,-0.76053,0.35544,0.33298,0.78936
14.02735,13.22743,1.33432,1.18334,0.36259,-0.00377,0.39474,0.23017,-0.21367
13.30249,13.05800,1.24992,1.21187,0.05215,-0.84459,0.89595,-0.33591,0.23190
13.80655,12.45948,0.79085,1.16195,0.45184,-0.66278,0.40142,-0.44902,0.16409
13.49785,12.86891,1.15414,1.08957,0.45884,-0.43552,0.63515,-0.08860,-0.04034
13.57023,12.60371,1.30777,0.85884,0.44337,-2.03446,1.49100,-0.35306,0.35974
13.34490,12.99928,0.89127,0.88177,0.44541,-2.69508,0.71344,0.15582,0.09190
14.12086,12.41637,1.29536,1.26299,0.33473,-0.41346,1.17374,-0.10190,-0.88537
13.80043,12.44335,0.86178,0.91440,0.36427,-1.52082,1.25105,0.29219,0.56573
13.32462,13.11253,1.45014,0.78720,0.01388,-1.25924,0.46388,-0.25573,-0.73698
13.22974,13.22607,1.08493,0.84183,0.34044,-2.87380,0.55774,0.15666,-0.15539
14.19698,12.93996,1.02334,1.12134,0.01254,-2.61936,0.89810,0.06994,-0.29716
13.24780,13.21553,0.70118,0.91177,0.45760,-0.63103,1.36409,-0.48301,-0.92719
13.63847,12.57474,0.79222,0.83209,0.10766,-2.10677,1.30731,0.48565,-0.78480
14.19311,13.04108,0.71246,1.18920,0.11350,-0.27357,1.32609,0.39261,0.07261
13.42777,12.61025,1.06499,1.01329,0.41706,-0.27587,0.67355,-0.04389,0.46032
14.21598,12.97053,1.49347,1.22780,0.03864,-1.50088,0.12280,-0.04352,-0.73890
14.25808,13.20469,0.99252,1.12893,0.09948,-1.63237,1.10319,0.20296,0.01612
14.18840,13.05089,0.87458,1.00623,0.05303,-1.51880,0.67453,-0.49170,0.55452
13.53722,12.61713,0.89524,1.25285,0.10262,-2.69086,1.40104,-0.18507,-0.94605
13.36015,12.87600,1.30039,0.86515,0.05849,-1.24963,0.38889,-0.16514,-0.17862
14.18270,12.96417,0.98354,1.16262,0.44637,-0.56282,1.42337,0.17890,0.53476
14.03251,13.06020,1.12013,0.79418,0.37008,-0.07363,0.88194,0.23335,-0.13414
14.31576,12.46488,1.23120,1.18585,0.41473,-2.60027,0.29785,0.35770,-0.40805
14.19846,12.82587,0.89293,1.01152,0.48850,-2.95374,0.91132,-0.20902,0.59897
13.60008,12.77732,1.23606,1.18532,0.21642,-2.14092,0.09430,0.38538,-0.67489
13.98859,13.00560,1.16103,1.17151,0.02551,-2.93778,1.40632,0.17529,-0.41386
14.23629,13.12717,0.97989,1.20509,0.18682,-1.03949,0.17425,0.06228,-0.94927
13.57154,13.15504,1.18039,1.04606,0.16371,-0.12345,0.15486,-0.26912,0.76851
14.17376,12.89567,0.75986,1.28942,0.07763,-1.07050,0.75863,0.44577,0.65792
14.14108,12.95591,1.24193,0.96783,0.14862,-1.46061,0.41153,-0.04962,-0.41995
13.40423,12.77368,1.21507,0.97615,0.41948,-0.28133,0.44973,-0.29085,-0.36166
13.63925,12.94919,1.18191,1.09764,0.23462,-1.11833,0.93845,0.30713,-0.04876
14.21315,12.53275,1.11392,0.88840,0.24734,-0.70166,0.28335,-0.17464,-0.82086
14.17776,12.75375,1.22030,1.02867,0.20177,-2.15756,1.09508,-0.24374,0.38611
13.75567,12.43132,1.49624,1.13913,0.38799,-0.70411,1.19329,-0.15090,-0.60230
13.69575,13.07698,0.80889,1.02735,0.16872,-1.99517,0.90197,-0.38382,0.69834
13.50964,12.87868,1.04970,1.23585,0.47262,-1.16704,0.59468,-0.33580,-0.39984
13.86867,12.65686,1.46440,0.92599,0.46529,-2.43620,1.01599,0.41319,0.13462
13.91213,12.72792,1.38687,0.78670,0.22210,-1.84468,0.62595,-0.39648,0.86242
14.29165,12.64178,1.17152,1.18198,0.32966,-2.26198,0.17738,0.35165,0.39004
13.46711,12.88778,1.35504,0.82378,0.04856,-0.49463,0.92053,-0.44397,-0.29334
14.07296,12.55995,0.80934,0.98719,0.22079,-1.08280,0.12251,0.21329,0.47904
13.72091,12.75343,0.95614,1.05142,0.24912,-0.16332,0.05141,0.26503,-0.88126
13.29314,13.22854,1.23564,1.28058,0.12470,-1.15959,1.45596,0.41882,0.61499
14.35651,13.29531,1.01510,0.89848,0.46735,-2.46063,0.96705,-0.29945,0.35287
13.65544,12.52202,1.48555,0.92339,0.38099,-2.67521,1.09692,0.03529,-0.22182
13.92369,12.51919,1.14772,1.25391,0.43259,-1.11383,0.38042,-0.17881,0.76997
14.03575,12.41808,0.78867,1.06490,0.19172,-2.84989,1.34317,0.28418,0.33158
13.54840,12.65623,0.93710,1.29325,0.42003,-2.23921,1.36406,0.21042,0.45894
13.49291,12.74342,0.82725,1.05281,0.08679,-1.00492,1.10582,-0.24806,-0.85144
14.18009,12.47541,1.01358,1.02371,0.33710,-1.80630,0.56859,-0.22562,-0.41343
13.25928,12.98489,1.28368,1.04469,0.12575,-2.98548,0.71128,-0.49339,-0.45188
13.67326,13.06349,0.95169,1.17531,0.42209,-0.50934,0.43958,0.34982,-0.53230
13.24840,12.44520,1.15535,0.78930,0.45813,-2.10502,0.18542,-0.24313,-0.12289
14.26458,12.69969,1.13850,0.94366,0.36197,-0.03501,0.05229,-0.29673,0.81053
14.01925,13.29469,1.47912,1.07619,0.49715,-0.69943,1.14413,-0.09179,-0.18709
13.89102,12.63630,0.81782,0.80655,0.41273,-0.09715,1.32711,-0.31923,0.03633
14.35475,12.74580,1.21489,0.83215,0.11948,-1.09783,0.50911,0.32427,0.49089
13.45857,12.48048,1.13020,0.82136,0.05118,-2.53791,1.10621,0.39796,-0.02059
13.81265,12.46675,0.80118,1.05297,0.46234,-2.97320,0.82876,0.10809,0.03921
13.33439,12.90227,1.05736,1.24008,0.29328,-0.25713,1.02628,-0.11337,-0.52482
13.44735,12.78049,1.01717,0.80718,0.30025,-0.78102,1.33264,0.00017,0.56085
14.14642,12.88448,0.87885,0.90604,0.28054,-1.94176,0.98720,-0.28804,-0.39849
13.95971,12.58508,0.78978,0.77444,0.42759,-1.15972,1.12243,0.11951,-0.26400
13.48779,13.03408,0.90629,1.01714,0.15327,-2.99514,1.12163,0.15470,0.84354
14.25306,12.79130,1.48490,1.26757,0.43598,-0.18919,1.39405,-0.28201,-0.67223
13.77338,12.95874,0.91396,1.09628,0.12495,-2.96209,0.91309,0.05980,0.64771
13.96959,12.99601,1.48971,0.92641,0.02736,-1.97346,0.10113,0.26016,0.83115
13.57444,13.27313,0.89120,0.96826,0.28314,-0.44227,0.13109,0.14415,-0.35200
14.16035,12.45646,0.75966,1.19825,0.27521,-2.76053,1.41371,-0.06176,0.06861
13.20901,12.91602,0.96332,1.10140,0.34626,-2.85679,0.94539,0.00119,-0.84456
13.83703,12.57578,1.33702,1.16430,0.01987,-0.69477,0.56604,0.05428,0.13652
13.29598,12.63720,1.18203,0.88244,0.16034,-0.73310,0.20936,-0.45925,-0.87445
14.06626,13.25547,1.41403,0.87795,0.22811,-1.13841,0.13457,-0.25845,-0.05987
13.54606,12.88665,1.13027,0.98922,0.49071,-0.17192,0.07339,0.34921,-0.50057
14.14062,13.14713,0.72617,1.18405,0.00407,-0.26133,0.36053,-0.14687,-0.91761
13.21687,12.77606,0.72959,0.88373,0.10762,-2.78795,1.25436,-0.19071,0.29272
13.59096,13.04451,1.37370,1.14965,0.00176,-2.62820,0.08724,0.16333,0.23529
13.21672,12.68238,0.86256,1.03117,0.48196,-2.38847,0.97492,0.47439,-0.45090
13.69913,12.75422,0.73003,0.76689,0.36064,-0.98950,0.38736,0.46775,-0.05940
14.12088,12.66085,1.20973,0.82430,0.19216,-0.44130,0.58277,-0.30158,-0.64704
14.19533,12.45226,1.12658,0.89026,0.45507,-2.02858,0.66838,0.19900,-0.94169
13.42971,12.68050,0.85973,0.91130,0.18606,-0.78589,1.41336,-0.16691,-0.67338
13.49012,13.21286,1.00242,0.76539,0.11310,-1.90069,0.99556,-0.01345,-0.53254
