# z   n(z)
0.10000 0.99407
0.10040 0.99502
0.10080 0.99597
0.10120 0.99692
0.10160 0.99787
0.10200 0.99882
0.10240 0.99977
0.10280 0.99297
0.10320 0.98367
0.10360 0.97437
0.10400 0.96507
0.10440 0.95577
0.10480 0.94646
0.10521 0.93716
0.10561 0.92786
0.10601 0.91856
0.10641 0.90926
0.10681 0.89996
0.10721 0.89066
0.10761 0.88530
0.10801 0.89065
0.10841 0.89600
0.10881 0.90134
0.10921 0.90669
0.10961 0.91204
0.11001 0.91739
0.11041 0.92274
0.11081 0.92809
0.11121 0.93344
0.11161 0.93879
0.11201 0.94414
0.11241 0.94949
0.11281 0.94470
0.11321 0.93708
0.11361 0.92945
0.11401 0.92182
0.11441 0.91420
0.11481 0.90657
0.11522 0.89895
0.11562 0.89132
0.11602 0.88370
0.11642 0.87607
0.11682 0.86845
0.11722 0.86082
0.11762 0.85155
0.11802 0.83832
0.11842 0.82509
0.11882 0.81185
0.11922 0.79862
0.11962 0.78539
0.12002 0.77216
0.12042 0.75893
0.12082 0.74569
0.12122 0.73246
0.12162 0.71923
0.12202 0.70600
0.12242 0.69277
0.12282 0.69152
0.12322 0.69316
0.12362 0.69479
0.12402 0.69643
0.12442 0.69806
0.12482 0.69970
0.12523 0.70133
0.12563 0.70297
0.12603 0.70461
0.12643 0.70624
0.12683 0.70788
0.12723 0.70951
0.12763 0.71176
0.12803 0.71532
0.12843 0.71888
0.12883 0.72244
0.12923 0.72601
0.12963 0.72957
0.13003 0.73313
0.13043 0.73669
0.13083 0.74025
0.13123 0.74381
0.13163 0.74737
0.13203 0.75093
0.13243 0.75449
0.13283 0.75089
0.13323 0.74583
0.13363 0.74077
0.13403 0.73571
0.13443 0.73065
0.13483 0.72559
0.13524 0.72053
0.13564 0.71547
0.13604 0.71041
0.13644 0.70535
0.13684 0.70029
0.13724 0.69523
0.13764 0.69025
0.13804 0.68543
0.13844 0.68061
0.13884 0.67579
0.13924 0.67096
0.13964 0.66614
0.14004 0.66132
0.14044 0.65650
0.14084 0.65167
0.14124 0.64685
0.14164 0.64203
0.14204 0.63721
0.14244 0.63238
0.14284 0.62677
0.14324 0.62103
0.14364 0.61529
0.14404 0.60955
0.14444 0.60381
0.14484 0.59807
0.14525 0.59232
0.14565 0.58658
0.14605 0.58084
0.14645 0.57510
0.14685 0.56936
0.14725 0.56362
0.14765 0.55943
0.14805 0.55793
0.14845 0.55642
0.14885 0.55491
0.14925 0.55340
0.14965 0.55189
0.15005 0.55038
0.15045 0.54887
0.15085 0.54736
0.15125 0.54585
0.15165 0.54435
0.15205 0.54284
0.15245 0.54133
0.15285 0.53577
0.15325 0.52966
0.15365 0.52356
0.15405 0.51745
0.15445 0.51135
0.15485 0.50524
0.15526 0.49914
0.15566 0.49303
0.15606 0.48693
0.15646 0.48082
0.15686 0.47472
0.15726 0.46861
0.15766 0.46583
0.15806 0.46817
0.15846 0.47052
0.15886 0.47286
0.15926 0.47521
0.15966 0.47755
0.16006 0.47989
0.16046 0.48224
0.16086 0.48458
0.16126 0.48692
0.16166 0.48927
0.16206 0.49161
0.16246 0.49396
0.16286 0.49381
0.16326 0.49340
0.16366 0.49299
0.16406 0.49258
0.16446 0.49217
0.16486 0.49176
0.16527 0.49136
0.16567 0.49095
0.16607 0.49054
0.16647 0.49013
0.16687 0.48972
0.16727 0.48932
0.16767 0.48754
0.16807 0.48386
0.16847 0.48018
0.16887 0.47650
0.16927 0.47282
0.16967 0.46914
0.17007 0.46546
0.17047 0.46179
0.17087 0.45811
0.17127 0.45443
0.17167 0.45075
0.17207 0.44707
0.17247 0.44339
0.17287 0.44451
0.17327 0.44599
0.17367 0.44747
0.17407 0.44894
0.17447 0.45042
0.17487 0.45189
0.17528 0.45337
0.17568 0.45485
0.17608 0.45632
0.17648 0.45780
0.17688 0.45927
0.17728 0.46075
0.17768 0.46065
0.17808 0.45858
0.17848 0.45650
0.17888 0.45443
0.17928 0.45235
0.17968 0.45028
0.18008 0.44820
0.18048 0.44613
0.18088 0.44405
0.18128 0.44198
0.18168 0.43990
0.18208 0.43783
0.18248 0.43575
0.18288 0.43292
0.18328 0.43004
0.18368 0.42717
0.18408 0.42430
0.18448 0.42143
0.18488 0.41855
0.18529 0.41568
0.18569 0.41281
0.18609 0.40994
0.18649 0.40706
0.18689 0.40419
0.18729 0.40132
0.18769 0.39995
0.18809 0.40030
0.18849 0.40064
0.18889 0.40099
0.18929 0.40133
0.18969 0.40167
0.19009 0.40202
0.19049 0.40236
0.19089 0.40271
0.19129 0.40305
0.19169 0.40340
0.19209 0.40374
0.19249 0.40409
0.19289 0.40313
0.19329 0.40215
0.19369 0.40116
0.19409 0.40018
0.19449 0.39920
0.19489 0.39822
0.19530 0.39724
0.19570 0.39625
0.19610 0.39527
0.19650 0.39429
0.19690 0.39331
0.19730 0.39233
0.19770 0.39135
0.19810 0.39038
0.19850 0.38942
0.19890 0.38845
0.19930 0.38748
0.19970 0.38652
0.20010 0.38555
0.20050 0.38458
0.20090 0.38362
0.20130 0.38265
0.20170 0.38168
0.20210 0.38072
0.20250 0.37974
0.20290 0.37766
0.20330 0.37559
0.20370 0.37351
0.20410 0.37143
0.20450 0.36935
0.20490 0.36727
0.20531 0.36519
0.20571 0.36312
0.20611 0.36104
0.20651 0.35896
0.20691 0.35688
0.20731 0.35480
0.20771 0.35339
0.20811 0.35259
0.20851 0.35178
0.20891 0.35098
0.20931 0.35018
0.20971 0.34938
0.21011 0.34858
0.21051 0.34778
0.21091 0.34697
0.21131 0.34617
0.21171 0.34537
0.21211 0.34457
0.21251 0.34377
0.21291 0.34323
0.21331 0.34268
0.21371 0.34213
0.21411 0.34159
0.21451 0.34104
0.21491 0.34049
0.21532 0.33995
0.21572 0.33940
0.21612 0.33886
0.21652 0.33831
0.21692 0.33776
0.21732 0.33722
0.21772 0.33910
0.21812 0.34302
0.21852 0.34694
0.21892 0.35086
0.21932 0.35478
0.21972 0.35870
0.22012 0.36262
0.22052 0.36654
0.22092 0.37046
0.22132 0.37437
0.22172 0.37829
0.22212 0.38221
0.22252 0.38588
0.22292 0.38537
0.22332 0.38485
0.22372 0.38433
0.22412 0.38381
0.22452 0.38329
0.22492 0.38278
0.22533 0.38226
0.22573 0.38174
0.22613 0.38122
0.22653 0.38070
0.22693 0.38019
0.22733 0.37967
0.22773 0.37872
0.22813 0.37745
0.22853 0.37619
0.22893 0.37492
0.22933 0.37365
0.22973 0.37238
0.23013 0.37111
0.23053 0.36984
0.23093 0.36857
0.23133 0.36730
0.23173 0.36603
0.23213 0.36476
0.23253 0.36344
0.23293 0.36150
0.23333 0.35957
0.23373 0.35763
0.23413 0.35569
0.23453 0.35376
0.23493 0.35182
0.23534 0.34988
0.23574 0.34795
0.23614 0.34601
0.23654 0.34407
0.23694 0.34214
0.23734 0.34020
0.23774 0.33820
0.23814 0.33615
0.23854 0.33411
0.23894 0.33207
0.23934 0.33002
0.23974 0.32798
0.24014 0.32593
0.24054 0.32389
0.24094 0.32184
0.24134 0.31980
0.24174 0.31775
0.24214 0.31571
0.24254 0.31380
0.24294 0.31306
0.24334 0.31232
0.24374 0.31158
0.24414 0.31083
0.24454 0.31009
0.24494 0.30935
0.24535 0.30861
0.24575 0.30786
0.24615 0.30712
0.24655 0.30638
0.24695 0.30564
0.24735 0.30490
0.24775 0.30448
0.24815 0.30426
0.24855 0.30405
0.24895 0.30383
0.24935 0.30362
0.24975 0.30340
0.25015 0.30318
0.25055 0.30297
0.25095 0.30275
0.25135 0.30254
0.25175 0.30232
0.25215 0.30211
0.25255 0.30170
0.25295 0.30003
0.25335 0.29836
0.25375 0.29669
0.25415 0.29503
0.25455 0.29336
0.25495 0.29169
0.25536 0.29002
0.25576 0.28835
0.25616 0.28668
0.25656 0.28502
0.25696 0.28335
0.25736 0.28168
0.25776 0.28192
0.25816 0.28321
0.25856 0.28451
0.25896 0.28580
0.25936 0.28710
0.25976 0.28839
0.26016 0.28969
0.26056 0.29098
0.26096 0.29228
0.26136 0.29358
0.26176 0.29487
0.26216 0.29617
0.26256 0.29714
0.26296 0.29640
0.26336 0.29566
0.26376 0.29493
0.26416 0.29419
0.26456 0.29345
0.26496 0.29271
0.26537 0.29197
0.26577 0.29123
0.26617 0.29049
0.26657 0.28975
0.26697 0.28901
0.26737 0.28827
0.26777 0.28777
0.26817 0.28739
0.26857 0.28701
0.26897 0.28663
0.26937 0.28625
0.26977 0.28587
0.27017 0.28549
0.27057 0.28511
0.27097 0.28473
0.27137 0.28435
0.27177 0.28397
0.27217 0.28359
0.27257 0.28316
0.27297 0.28251
0.27337 0.28187
0.27377 0.28122
0.27417 0.28057
0.27457 0.27993
0.27497 0.27928
0.27538 0.27863
0.27578 0.27798
0.27618 0.27734
0.27658 0.27669
0.27698 0.27604
0.27738 0.27540
0.27778 0.27478
0.27818 0.27419
0.27858 0.27359
0.27898 0.27299
0.27938 0.27239
0.27978 0.27179
0.28018 0.27119
0.28058 0.27060
0.28098 0.27000
0.28138 0.26940
0.28178 0.26880
0.28218 0.26820
0.28258 0.26786
0.28298 0.26852
0.28338 0.26917
0.28378 0.26983
0.28418 0.27048
0.28458 0.27114
0.28498 0.27179
0.28539 0.27245
0.28579 0.27310
0.28619 0.27376
0.28659 0.27441
0.28699 0.27507
0.28739 0.27572
0.28779 0.27618
0.28819 0.27656
0.28859 0.27693
0.28899 0.27731
0.28939 0.27769
0.28979 0.27807
0.29019 0.27845
0.29059 0.27883
0.29099 0.27921
0.29139 0.27958
0.29179 0.27996
0.29219 0.28034
0.29259 0.28090
0.29299 0.28207
0.29339 0.28324
0.29379 0.28441
0.29419 0.28558
0.29459 0.28675
0.29499 0.28792
0.29540 0.28909
0.29580 0.29026
0.29620 0.29143
0.29660 0.29260
0.29700 0.29377
0.29740 0.29494
0.29780 0.29436
0.29820 0.29317
0.29860 0.29199
0.29900 0.29080
0.29940 0.28962
0.29980 0.28843
0.30020 0.28725
0.30060 0.28606
0.30100 0.28488
0.30140 0.28369
